"Indicator","PUBLISH STATES","Year","WHO region","Country","Beverage Types","Display Value","Numeric","Low","High","Comments"
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Lao People's Democratic Republic","Other alcoholic beverages","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Singapore","Beer","70.1","70.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Sudan","Wine","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Burkina Faso","Wine","3.0","3.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Angola","Other alcoholic beverages","4.7","4.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Panama","Beer","69.2","69.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","The former Yugoslav republic of Macedonia","Wine","39.9","39.90000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Greece","Other alcoholic beverages","0.4","0.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Jamaica","Wine","4.9","4.90000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Belize","Other alcoholic beverages","0.1","0.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Libya","Wine","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Solomon Islands","Spirits","16.7","16.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Greece","Wine","47.3","47.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Afghanistan","Other alcoholic beverages","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Jamaica","Spirits","51.4","51.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Croatia","Wine","44.8","44.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Republic of Korea","Beer","25.0","25.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Congo","Other alcoholic beverages","0.8","0.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","New Zealand","Other alcoholic beverages","12.5","12.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Fiji","Spirits","31.1","31.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Namibia","Spirits","0.9","0.90000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Malawi","Beer","9.1","9.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Morocco","Beer","43.5","43.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Guinea-Bissau","Other alcoholic beverages","43.0","43.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Dominican Republic","Beer","54.5","54.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Kenya","Wine","1.8","1.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","The former Yugoslav republic of Macedonia","Beer","47.4","47.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Belize","Spirits","30.3","30.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Bosnia and Herzegovina","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Malawi","Wine","1.2","1.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Mauritania","Beer","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Sao Tome and Principe","Wine","60.2","60.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Cyprus","Other alcoholic beverages","0.7","0.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Mauritania","Other alcoholic beverages","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","South-East Asia","Indonesia","Spirits","15.3","15.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","South-East Asia","Maldives","Spirits","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Republic of Moldova","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Israel","Other alcoholic beverages","0.3","0.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Monaco","Spirits","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","South-East Asia","Maldives","Beer","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Czech Republic","Beer","53.5","53.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Brunei Darussalam","Wine","2.3","2.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","France","Spirits","23.1","23.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","United Republic of Tanzania","Other alcoholic beverages","87.0","87.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Estonia","Wine","11.1","11.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Belarus","Other alcoholic beverages","30.9","30.90000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Romania","Beer","50.0","50.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","South-East Asia","Myanmar","Beer","82.6","82.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Guinea","Wine","16.3","16.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Togo","Other alcoholic beverages","21.8","21.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Sao Tome and Principe","Beer","23.5","23.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Jordan","Other alcoholic beverages","0.1","0.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Zimbabwe","Spirits","6.8","6.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Cote d'Ivoire","Beer","16.1","16.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","South-East Asia","Maldives","Wine","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Cabo Verde","Other alcoholic beverages","4.3","4.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Uganda","Other alcoholic beverages","88.6","88.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Togo","Wine","26.9","26.90000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Honduras","Beer","40.1","40.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Lao People's Democratic Republic","Beer","35.6","35.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Nicaragua","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Eritrea","Wine","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Dominica","Spirits","77.9","77.90000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Angola","Beer","64.3","64.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Czech Republic","Spirits","26.0","26.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Democratic Republic of the Congo","Other alcoholic beverages","73.3","73.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Comoros","Beer","23.3","23.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Bahrain","Beer","36.6","36.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","South-East Asia","Timor-Leste","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Palau","Spirits","16.4","16.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Nauru","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Mauritius","Beer","66.2","66.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Viet Nam","Spirits","2.1","2.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Somalia","Wine","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","China","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Spain","Spirits","28.2","28.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","South-East Asia","Timor-Leste","Wine","75.9","75.90000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Belgium","Spirits","14.4","14.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Saint Vincent and the Grenadines","Beer","33.4","33.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Cameroon","Spirits","0.2","0.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","El Salvador","Spirits","56.6","56.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Mongolia","Spirits","69.6","69.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Solomon Islands","Beer","81.1","81.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Guinea-Bissau","Beer","19.6","19.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Bosnia and Herzegovina","Beer","29.1","29.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","United Republic of Tanzania","Wine","0.2","0.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Republic of Korea","Other alcoholic beverages","70.5","70.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Angola","Spirits","17.4","17.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","China","Wine","3.0","3.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Ukraine","Spirits","48.0","48.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Cuba","Wine","2.2","2.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Denmark","Wine","48.2","48.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Djibouti","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","China","Spirits","69.2","69.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Finland","Spirits","24.0","24.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Palau","Wine","5.9","5.90000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Armenia","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Papua New Guinea","Spirits","47.7","47.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","San Marino","Beer","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Bahrain","Other alcoholic beverages","0.1","0.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Ireland","Spirits","18.7","18.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Azerbaijan","Beer","28.7","28.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Lao People's Democratic Republic","Wine","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Kazakhstan","Wine","3.1","3.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Swaziland","Other alcoholic beverages","65.0","65.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Serbia","Spirits","24.6","24.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Romania","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Ethiopia","Other alcoholic beverages","41.4","41.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Ukraine","Wine","9.0","9.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Zambia","Beer","22.7","22.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Peru","Wine","6.1","6.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","United Kingdom of Great Britain and Northern Ireland","Spirits","21.8","21.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Cambodia","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Slovenia","Wine","46.9","46.90000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Nigeria","Other alcoholic beverages","90.7","90.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Uganda","Beer","9.4","9.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Bolivia (Plurinational State of)","Wine","3.8","3.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Barbados","Spirits","49.3","49.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","United States of America","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Italy","Wine","65.6","65.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Lebanon","Beer","18.2","18.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Micronesia (Federated States of)","Spirits","38.9","38.90000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Turkey","Wine","8.6","8.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Cyprus","Beer","40.9","40.90000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Oman","Beer","54.6","54.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Chile","Beer","29.9","29.90000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Guyana","Beer","23.0","23.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Solomon Islands","Wine","2.1","2.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Bulgaria","Spirits","44.1","44.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Botswana","Beer","56.0","56.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Norway","Spirits","19.0","19.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Madagascar","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","United Arab Emirates","Spirits","86.7","86.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Samoa","Wine","16.6","16.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Iraq","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","South-East Asia","Sri Lanka","Other alcoholic beverages","1.7","1.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Uruguay","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Malta","Other alcoholic beverages","0.7","0.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Turkmenistan","Wine","26.1","26.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Dominica","Other alcoholic beverages","1.2","1.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Guyana","Wine","0.3","0.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Philippines","Spirits","72.7","72.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Nauru","Beer","85.4","85.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Senegal","Beer","55.1","55.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Grenada","Beer","29.3","29.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Norway","Beer","44.2","44.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Yemen","Wine","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Mexico","Spirits","22.2","22.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Belize","Wine","2.0","2.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Sudan","Beer","8.0","8.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Russian Federation","Spirits","51.0","51.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Lao People's Democratic Republic","Spirits","64.4","64.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Burkina Faso","Beer","10.0","10.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Grenada","Wine","4.3","4.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Montenegro","Wine","47.0","47.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","South-East Asia","Sri Lanka","Spirits","85.2","85.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Norway","Wine","34.7","34.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Fiji","Other alcoholic beverages","0.2","0.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Gambia","Wine","0.7","0.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Vanuatu","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Germany","Spirits","18.6","18.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Suriname","Other alcoholic beverages","0.5","0.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Kyrgyzstan","Wine","4.2","4.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Tajikistan","Beer","10.2","10.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Jordan","Wine","2.1","2.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","South Africa","Spirits","16.7","16.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Gabon","Beer","68.3","68.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","United States of America","Wine","17.3","17.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Lesotho","Beer","51.3","51.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Togo","Spirits","2.4","2.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Burundi","Other alcoholic beverages","75.4","75.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Jordan","Spirits","75.4","75.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Germany","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Kuwait","Other alcoholic beverages","0.4","0.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Bolivia (Plurinational State of)","Beer","76.8","76.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Saint Lucia","Wine","12.6","12.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Nigeria","Spirits","0.9","0.90000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Tunisia","Wine","27.7","27.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Lesotho","Wine","0.2","0.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","South Africa","Other alcoholic beverages","17.4","17.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Cambodia","Beer","45.7","45.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Guatemala","Spirits","56.3","56.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Lebanon","Spirits","52.4","52.40000","","",""
